year,oil,gas,ngl_and_condensate
1971,0.36,0,0
1972,1.93,0,0
1973,1.87,0,0
1974,2.01,0,0
1975,11,0,0
1976,16.23,0,0
1977,16.64,2.72,0
1978,20.64,14.62,0.02
1979,22.48,21.11,1.17
1980,28.22,25.64,2.49
1981,27.48,25.28,2.22
1982,28.53,24.06,2.33
1983,35.65,23.17,2.72
1984,41.09,25.63,2.7
1985,44.76,25.51,3.05
1986,48.77,26.15,3.91
1987,56.96,28.4,4.17
1988,64.72,28.58,4.9
1989,85.98,29.08,4.95
1990,94.54,25.99,5.06
1991,108.51,25.56,4.96
1992,124,26.5,5.01
1993,131.84,25.56,5.99
1994,146.28,27.88,9.52
1995,156.78,29.07,11.12
1996,175.5,38.75,12.01
1997,175.91,44.36,13.45
1998,168.74,47.06,12.44
1999,168.69,48.7,12.5
2000,181.18,47.43,12.64
2001,180.88,54.15,16.59
2002,173.65,65.53,19.12
2003,165.48,72.93,23.27
2004,162.78,79.1,22.31
2005,148.14,85.67,23.76
2006,136.58,88.23,24.33
2007,128.28,89.51,19.76
2008,122.66,99.46,20.86
2009,114.94,103.68,21.4
2010,104.39,106.53,19.72
2011,97.46,100.3,20.89
2012,89.2,113.06,22.38
2013,84.94,107.05,21.71
2014,87.75,106.8,21.86
2015,90.85,114.92,22.07
2016,93.95,114.65,22.24
2017,92.28,122.37,22.1
2018,86.27,119.89,21.17
2019,81.74,113.23,19.04
